#lambda_l=1.044533137529e+00, lambda_r=1.044533137529e+00
5.189851012119e-27 5.797620518871e-27
5.118403624583e-27 5.608421452893e-27
5.031472211163e-27 5.550000159100e-27
4.974835967506e-27 5.396784448276e-27
4.772877583947e-27 5.313198098371e-27
4.733811917266e-27 5.270001307367e-27
4.594623863516e-27 5.092078660504e-27
4.477118864587e-27 4.991363494877e-27
4.430639136794e-27 4.980086026301e-27
4.394641995070e-27 4.768885786738e-27
4.379173399246e-27 4.741946476300e-27
4.342807394179e-27 4.604563163326e-27
4.301711449172e-27 4.594847349973e-27
4.203393738314e-27 4.559933436675e-27
4.147501837640e-27 4.494692819831e-27
3.994037022291e-27 4.322906002726e-27
3.990440298764e-27 4.264370420238e-27
3.910826142410e-27 4.222852672529e-27
3.878842880904e-27 4.159244596909e-27
3.830177341180e-27 4.146949853222e-27
3.761937342982e-27 4.140767364599e-27
3.732697861668e-27 4.103347760288e-27
3.671869380321e-27 4.094748331576e-27
3.588082603173e-27 4.074619958728e-27
3.546857580699e-27 3.911616402096e-27
3.519529483001e-27 3.868898053848e-27
3.502264800986e-27 3.844216980291e-27
3.420357301229e-27 3.787734724355e-27
3.416887220591e-27 3.724632290833e-27
3.339210887066e-27 3.675524545146e-27
3.298531867021e-27 3.613697483551e-27
3.275322210417e-27 3.521029987163e-27
3.198873441773e-27 3.456241608255e-27
3.187961078712e-27 3.452925602603e-27
3.106521254669e-27 3.405440988273e-27
3.060464492177e-27 3.405063343487e-27
3.023341256575e-27 3.369780177191e-27
3.010136014259e-27 3.265916730692e-27
2.980208081834e-27 3.180308992820e-27
2.969279522696e-27 3.146395263345e-27
2.965096900239e-27 3.109798326000e-27
2.961813912724e-27 3.075682108764e-27
2.941038162200e-27 3.018435358402e-27
2.857250695691e-27 2.998295869281e-27
2.792821583625e-27 2.987299579879e-27
2.763953367627e-27 2.975758105485e-27
2.754617439896e-27 2.960933249698e-27
2.688391593254e-27 2.943581310679e-27
2.629400111551e-27 2.934815312543e-27
2.597679726096e-27 2.899576741552e-27
2.565833000019e-27 2.890830793523e-27
2.485257107215e-27 2.827174041276e-27
2.464220047385e-27 2.823075220278e-27
2.440648777804e-27 2.814865980840e-27
2.423531380978e-27 2.799147975717e-27
2.407475148418e-27 2.793697950396e-27
2.369049533434e-27 2.763825386000e-27
2.326169727022e-27 2.753213222956e-27
2.315100340041e-27 2.739552478368e-27
2.290471559542e-27 2.697708462262e-27
2.214619116964e-27 2.653888118690e-27
2.200313156597e-27 2.644115958323e-27
2.132592521656e-27 2.641885953973e-27
2.118294919812e-27 2.620903608503e-27
2.113851689621e-27 2.589988168796e-27
2.087545755185e-27 2.582903391455e-27
2.077814638580e-27 2.514435708645e-27
2.035154895048e-27 2.499606947428e-27
2.035134794601e-27 2.495771832104e-27
2.023710035440e-27 2.456548299941e-27
2.008410646373e-27 2.439462251589e-27
2.005360449026e-27 2.356531882652e-27
1.994163032624e-27 2.293445754164e-27
1.984004258552e-27 2.283614475937e-27
1.966606383429e-27 2.267798716142e-27
1.943603239336e-27 2.252633106844e-27
1.936114246702e-27 2.198521538587e-27
1.923752999393e-27 2.191982084926e-27
1.902121933806e-27 2.143368259306e-27
1.885841058851e-27 2.132746397119e-27
1.813940558071e-27 2.131255124580e-27
1.811421578730e-27 2.096688454682e-27
1.791980385116e-27 2.084377646392e-27
1.778866803134e-27 2.045106815473e-27
1.751092046998e-27 1.968333863311e-27
1.727082378703e-27 1.941727002118e-27
1.725739451844e-27 1.912925151622e-27
1.712453468327e-27 1.883400208166e-27
1.693906088069e-27 1.882712561825e-27
1.645802833149e-27 1.877976776861e-27
1.619052201794e-27 1.872686513385e-27
1.615650623416e-27 1.866142885941e-27
1.593342931137e-27 1.819675339476e-27
1.592972591413e-27 1.774723477599e-27
1.564420858761e-27 1.750392633086e-27
1.561761584857e-27 1.748960223762e-27
1.532258031216e-27 1.717643128056e-27
1.524149401309e-27 1.695213396724e-27
1.520631231639e-27 1.657375673007e-27
1.518970979583e-27 1.587267700718e-27
1.494009036740e-27 1.581229849359e-27
1.450907610305e-27 1.524157236452e-27
1.449643862528e-27 1.508168663605e-27
1.449434842935e-27 1.475626584170e-27
1.442906586826e-27 1.425593370937e-27
1.403691778941e-27 1.410438869459e-27
1.400496407125e-27 1.403343481140e-27
1.400313616590e-27 1.392790779530e-27
1.387559642137e-27 1.347073679015e-27
1.352667353863e-27 1.346291920452e-27
1.349554512918e-27 1.324552352001e-27
1.339563576789e-27 1.308702351577e-27
1.318493899490e-27 1.274556986588e-27
1.277126760591e-27 1.238296960920e-27
1.262498272472e-27 1.231245408842e-27
1.243484448795e-27 1.230310508788e-27
1.243247792134e-27 1.211747767352e-27
1.227264038834e-27 1.173309199932e-27
1.213679214263e-27 1.145279915300e-27
1.194378981130e-27 1.136110812165e-27
1.169288415198e-27 1.121309387422e-27
1.145928005522e-27 1.103257818463e-27
1.125766371535e-27 1.085546418915e-27
1.122771465906e-27 1.080260058091e-27
1.115908831104e-27 1.079555294701e-27
1.113148407523e-27 1.070746211577e-27
1.099660541923e-27 1.058505811396e-27
1.086292876626e-27 1.052342568204e-27
1.072434211427e-27 1.041523862081e-27
1.072254681539e-27 1.032397390303e-27
1.064651269535e-27 1.018638614961e-27
1.057404362139e-27 1.005219761399e-27
1.035631944245e-27 9.966666165670e-28
1.035534716470e-27 9.929561161544e-28
1.013076936595e-27 9.784446054867e-28
1.011377473618e-27 9.729276194319e-28
9.698953134405e-28 9.581397564066e-28
9.614236813864e-28 9.460902727481e-28
9.531335622644e-28 9.402645132619e-28
9.488892535435e-28 9.220355952162e-28
